GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SonarTest,com.sonarproject.back,Calcul,0,29,0,0,0,12,0,6,0,6
SonarTest,com.sonarproject.front,Interface,118,0,0,0,29,0,3,0,3,0
